Product Name,SKU / Barcode,Size,Current Stock,AI Forecast (Units/Day),System Status,Timestamp
Classic Denim Jacket,CLA-BLA-S,S,199,1.7,✅ Safe,2026-03-05 13:33
Classic Denim Jacket,CLA-BLU-S,S,100,1.3,✅ Safe,2026-03-05 13:33
Classic Denim Jacket,CLA-WHI-S,S,100,1.4,✅ Safe,2026-03-05 13:33
Classic Denim Jacket,CLA-BLA-M,M,200,3.2,⚠️ HIGH RISK (Auto-Order Recommended),2026-03-05 13:33
Classic Denim Jacket,CLA-BLU-M,M,200,3.2,⚠️ HIGH RISK (Auto-Order Recommended),2026-03-05 13:33
Classic Denim Jacket,CLA-WHI-M,M,200,4.1,⚠️ HIGH RISK (Auto-Order Recommended),2026-03-05 13:33
Classic Denim Jacket,CLA-BLA-L,L,100,1.7,✅ Safe,2026-03-05 13:33
Classic Denim Jacket,CLA-BLU-L,L,100,1.7,✅ Safe,2026-03-05 13:33
Classic Denim Jacket,CLA-WHI-L,L,100,1.2,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-BLA-S,S,100,1.5,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-BLU-S,S,100,1.8,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-WHI-S,S,100,1.5,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-BLA-M,M,200,3.5,⚠️ HIGH RISK (Auto-Order Recommended),2026-03-05 13:33
Basic Cotton T-Shirt,BAS-BLU-M,M,100,2.7,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-WHI-M,M,100,2.7,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-BLA-L,L,100,1.5,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-BLU-L,L,100,2.0,✅ Safe,2026-03-05 13:33
Basic Cotton T-Shirt,BAS-WHI-L,L,100,2.0,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-BLA-S,S,100,1.6,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-BLU-S,S,100,1.3,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-WHI-S,S,100,1.0,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-BLA-M,M,100,2.4,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-BLU-M,M,100,2.5,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-WHI-M,M,100,2.9,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-BLA-L,L,100,2.0,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-BLU-L,L,100,1.3,✅ Safe,2026-03-05 13:33
Black Chinos,BLA-WHI-L,L,100,1.7,✅ Safe,2026-03-05 13:33
